Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Simard, Mario",Jonquière,Bloc Québécois,66866.09,19477.27,768.66,21463.13
"Simms, Scott",Coast of Bays—Central—Notre Dame,Liberal,68489.33,18981.69,1072.35,22707.90
"Singh, Jagmeet",Burnaby South,New Democratic Party,68537.57,3831.52,0.00,11317.85
"Sloan, Derek",Hastings—Lennox and Addington,Conservative,78665.51,4971.75,227.35,19377.46
"Sorbara, Francesco",Vaughan—Woodbridge,Liberal,63147.79,2118.16,0.00,22930.44
"Soroka, Gerald",Yellowhead,Conservative,65086.97,15917.57,0.00,21498.35
"Spengemann, Sven",Mississauga—Lakeshore,Liberal,67080.58,0.00,0.00,28822.86
"Stanton, Bruce",Simcoe North,Conservative,77186.46,7355.37,0.00,22026.23
"Steinley, Warren",Regina—Lewvan,Conservative,66097.68,19352.09,884.30,45459.85
"Ste-Marie, Gabriel",Joliette,Bloc Québécois,72255.89,7848.66,0.00,14381.15
"Stetski, Wayne",Kootenay—Columbia,New Democratic Party,0.00,0.00,0.00,94.13
"Strahl, Mark",Chilliwack—Hope,Conservative,68429.06,5902.04,134.77,19714.11
"Stubbs, Shannon",Lakeland,Conservative,104196.71,6712.22,44.90,11257.15
"Sweet, David",Flamborough—Glanbrook,Conservative,78712.37,14501.80,0.00,24776.79
"Tabbara, Marwan",Kitchener South—Hespeler,Independent,71526.53,977.52,103.99,18806.41
"Tan, Geng",Don Valley North,Liberal,0.00,0.00,0.00,779.98
"Tassi, Hon. Filomena",Hamilton West—Ancaster—Dundas,Liberal,58876.50,8250.48,0.00,30218.07
"Thériault, Luc",Montcalm,Bloc Québécois,64665.79,7608.19,79.61,16994.72
"Therrien, Alain",La Prairie,Bloc Québécois,73075.03,6173.36,0.00,18543.70
"Tochor, Corey",Saskatoon—University,Conservative,66401.77,8857.29,391.87,22971.69
"Tootoo, Hon. Hunter",Nunavut,Independent,0.00,7778.30,0.00,0.00
"Trudeau, Right Hon. Justin",Papineau,Liberal,66825.82,0.00,165.32,23105.57
"Trudel, Denis",Longueuil—Saint-Hubert,Bloc Québécois,68898.11,12618.88,1054.51,24925.67
"Turnbull, Ryan",Whitby,Liberal,73227.84,1162.35,29.71,27440.91
"Uppal, Hon. Tim",Edmonton Mill Woods,Conservative,67783.94,10198.94,0.00,16716.80
Vacant,Toronto Centre,Liberal,7926.40,0.00,0.00,7672.92
Vacant,York Centre,Liberal,5523.67,0.00,0.00,2754.66
"Van Bynen, Tony",Newmarket—Aurora,Liberal,72340.46,8180.22,0.00,28657.69
"van Koeverden, Adam",Milton,Liberal,62519.10,1983.93,0.00,33675.25
"Van Popta, Tako",Langley—Aldergrove,Conservative,73426.89,11680.14,711.04,15507.29
"Vandal, Hon. Dan",Saint Boniface—Saint Vital,Liberal,64768.86,3793.50,335.96,31029.78
"Vandenbeld, Anita",Ottawa West—Nepean,Liberal,77534.85,0.00,150.00,18492.23
"Vaughan, Adam",Spadina—Fort York,Liberal,74512.76,2233.72,0.00,10159.38
"Vecchio, Karen",Elgin—Middlesex—London,Conservative,80127.94,7280.63,40.00,20907.85
"Vidal, Gary",Desnethé—Missinippi—Churchill River,Conservative,77161.56,18769.31,1404.78,15952.64
"Viersen, Arnold",Peace River—Westlock,Conservative,86194.22,12308.82,71.52,12703.00
"Vignola, Julie",Beauport—Limoilou,Bloc Québécois,62573.47,4624.68,7.49,28031.66
"Virani, Arif",Parkdale—High Park,Liberal,74410.07,7986.30,154.52,23726.06
"Vis, Brad",Mission—Matsqui—Fraser Canyon,Conservative,87564.65,20431.25,411.70,23123.48
"Wagantall, Cathay",Yorkton—Melville,Conservative,90297.20,23396.33,33.48,21754.06
"Warkentin, Chris",Grande Prairie—Mackenzie,Conservative,51230.41,6314.68,94.87,25971.51
"Waugh, Kevin",Saskatoon—Grasswood,Conservative,74041.80,9560.58,0.00,12071.94
"Webber, Len",Calgary Confederation,Conservative,93448.36,10798.08,0.00,16313.47
"Weiler, Patrick",West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,74646.67,10712.25,130.00,31357.00
"Wilkinson, Hon. Jonathan",North Vancouver,Liberal,70837.92,3115.76,18.58,40172.24
"Williamson, John",New Brunswick Southwest,Conservative,74578.33,4920.85,0.00,22893.81
"Wilson-Raybould, Hon. Jody",Vancouver Granville,Independent,59587.20,7367.41,0.00,27754.12
"Wong, Hon. Alice",Richmond Centre,Conservative,57460.86,6862.65,177.77,22910.41
"Yip, Jean",Scarborough—Agincourt,Liberal,54369.99,0.00,0.00,12965.38
"Young, Kate",London West,Liberal,74172.98,5400.00,0.00,33685.29
"Yurdiga, David",Fort McMurray—Cold Lake,Conservative,80854.40,24991.15,423.54,26494.39
"Zahid, Salma",Scarborough Centre,Liberal,71583.96,7473.68,0.00,19059.30
"Zann, Lenore",Cumberland—Colchester,Liberal,69205.34,257.00,0.00,28000.45
"Zimmer, Bob",Prince George—Peace River—Northern Rockies,Conservative,87064.05,23750.10,155.06,32022.41
"Zuberi, Sameer",Pierrefonds—Dollard,Liberal,61840.01,1962.82,783.19,25468.53
