Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Simms, Scott",Coast of Bays—Central—Notre Dame,Liberal,101723.38,14239.72,280.93,22423.41
"Singh, Jagmeet",Burnaby South,New Democratic Party,105684.09,33815.09,1102.10,37887.32
"Sloan, Derek",Hastings—Lennox and Addington,Independent,119153.20,12042.48,0.00,15639.90
"Sohi, Hon. Amarjeet",Edmonton Mill Woods,Liberal,0.00,0.00,0.00,4995.00
"Sorbara, Francesco",Vaughan—Woodbridge,Liberal,97090.59,212.30,40.43,39742.52
"Soroka, Gerald",Yellowhead,Conservative,90272.04,10649.73,0.00,43832.85
"Spengemann, Sven",Mississauga—Lakeshore,Liberal,104730.08,114.40,580.80,28614.52
"Stanton, Bruce",Simcoe North,Conservative,87643.26,10195.70,0.00,31231.04
"Steinley, Warren",Regina—Lewvan,Conservative,85557.97,13491.80,145.90,36320.38
"Ste-Marie, Gabriel",Joliette,Bloc Québécois,106346.45,9204.65,59.70,62702.75
"Strahl, Mark",Chilliwack—Hope,Conservative,113280.02,7239.23,359.88,15016.52
"Stubbs, Shannon",Lakeland,Conservative,119579.93,25945.67,78.17,24129.64
"Sweet, David",Flamborough—Glanbrook,Conservative,86222.56,8083.91,245.81,28777.98
"Tabbara, Marwan",Kitchener South—Hespeler,Independent,105035.11,0.00,354.45,22623.30
"Tassi, Hon. Filomena",Hamilton West—Ancaster—Dundas,Liberal,90426.08,4364.22,0.00,29085.77
"Thériault, Luc",Montcalm,Bloc Québécois,98003.76,3985.38,213.76,29460.55
"Therrien, Alain",La Prairie,Bloc Québécois,113111.02,6539.90,512.67,31103.48
"Tochor, Corey",Saskatoon—University,Conservative,77490.60,4394.15,549.14,19952.35
"Trudeau, Right Hon. Justin",Papineau,Liberal,75771.47,0.00,0.00,31028.50
"Trudel, Denis",Longueuil—Saint-Hubert,Bloc Québécois,91248.90,5495.76,207.17,31328.34
"Trudel, Karine",Jonquière,New Democratic Party,0.00,0.00,0.00,3473.00
"Turnbull, Ryan",Whitby,Liberal,111291.51,0.00,0.00,41257.54
"Uppal, Hon. Tim",Edmonton Mill Woods,Conservative,107478.18,13397.51,173.68,18029.44
Vacant,Toronto Centre,Liberal,2683.23,0.00,0.00,831.52
Vacant,York Centre,Liberal,2223.24,0.00,0.00,0.00
"Van Bynen, Tony",Newmarket—Aurora,Liberal,94481.98,1567.24,59.82,35882.50
"van Koeverden, Adam",Milton,Liberal,99892.10,0.00,0.00,36194.62
"Van Popta, Tako",Langley—Aldergrove,Conservative,99133.62,21411.58,402.92,22561.09
"Vandal, Hon. Dan",Saint Boniface—Saint Vital,Liberal,99456.16,7521.93,0.00,28039.10
"Vandenbeld, Anita",Ottawa West—Nepean,Liberal,96255.85,0.00,0.00,14660.17
"Vaughan, Adam",Spadina—Fort York,Liberal,98496.65,0.00,0.00,9950.57
"Vecchio, Karen",Elgin—Middlesex—London,Conservative,116737.29,9251.78,250.00,39054.16
"Vidal, Gary",Desnethé—Missinippi—Churchill River,Conservative,79899.86,7493.55,230.54,16815.11
"Viersen, Arnold",Peace River—Westlock,Conservative,131142.82,15881.35,247.48,30109.21
"Vignola, Julie",Beauport—Limoilou,Bloc Québécois,102762.28,10613.65,9.84,38659.61
"Virani, Arif",Parkdale—High Park,Liberal,111401.57,4686.70,200.00,30642.45
"Vis, Brad",Mission—Matsqui—Fraser Canyon,Conservative,105620.94,15640.08,176.16,33655.82
"Wagantall, Cathay",Yorkton—Melville,Conservative,109596.80,15641.31,0.00,17230.57
"Warkentin, Chris",Grande Prairie—Mackenzie,Conservative,87529.38,2478.01,107.97,20189.79
"Waugh, Kevin",Saskatoon—Grasswood,Conservative,104432.40,6479.65,0.00,21132.55
"Webber, Len",Calgary Confederation,Conservative,101083.38,12198.15,0.00,15193.08
"Weiler, Patrick",West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,111952.60,15766.05,0.00,46995.34
"Wilkinson, Hon. Jonathan",North Vancouver,Liberal,81416.38,9788.38,0.00,32286.65
"Williamson, John",New Brunswick Southwest,Conservative,77982.19,14659.95,0.00,50106.08
"Wilson-Raybould, Hon. Jody",Vancouver Granville,Independent,72133.23,10881.60,0.00,27007.12
"Wong, Hon. Alice",Richmond Centre,Conservative,93512.75,4261.24,99.04,44838.45
"Yip, Jean",Scarborough—Agincourt,Liberal,83426.30,0.00,808.17,35589.18
"Young, Kate",London West,Liberal,110916.97,10448.95,51.93,17742.47
"Yurdiga, David",Fort McMurray—Cold Lake,Conservative,97667.64,8136.19,0.00,26835.48
"Zahid, Salma",Scarborough Centre,Liberal,83951.02,4021.35,0.00,39593.35
"Zann, Lenore",Cumberland—Colchester,Liberal,106050.88,822.93,0.00,32205.59
"Zimmer, Bob",Prince George—Peace River—Northern Rockies,Conservative,104482.62,22155.86,428.69,44969.98
"Zuberi, Sameer",Pierrefonds—Dollard,Liberal,118404.89,1761.41,1392.43,36912.43
